Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2016,Life expectancy at birth (years),Both sexes,62.69
Afghanistan,2016,Life expectancy at birth (years),Male,61.04
Afghanistan,2016,Life expectancy at birth (years),Female,64.5
Afghanistan,2016,Life expectancy at age 60 (years),Both sexes,16.29
Afghanistan,2016,Life expectancy at age 60 (years),Male,15.49
Afghanistan,2016,Life expectancy at age 60 (years),Female,17.08
Afghanistan,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,52.96
Afghanistan,2016,Healthy life expectancy (HALE) at birth (years),Male,52.13
Afghanistan,2016,Healthy life expectancy (HALE) at birth (years),Female,54.07
Afghanistan,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,11.31
Afghanistan,2016,Healthy life expectancy (HALE) at age 60 (years),Male,10.91
Afghanistan,2016,Healthy life expectancy (HALE) at age 60 (years),Female,11.7
Albania,2016,Life expectancy at birth (years),Both sexes,76.37
Albania,2016,Life expectancy at birth (years),Male,74.33
Albania,2016,Life expectancy at birth (years),Female,78.59
Albania,2016,Life expectancy at age 60 (years),Both sexes,20.77
Albania,2016,Life expectancy at age 60 (years),Male,19.36
Albania,2016,Life expectancy at age 60 (years),Female,22.29
Albania,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,68.13
Albania,2016,Healthy life expectancy (HALE) at birth (years),Male,66.74
Albania,2016,Healthy life expectancy (HALE) at birth (years),Female,69.62
Albania,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,16.33
Albania,2016,Healthy life expectancy (HALE) at age 60 (years),Male,15.32
Albania,2016,Healthy life expectancy (HALE) at age 60 (years),Female,17.41
Algeria,2016,Life expectancy at birth (years),Both sexes,76.36
Algeria,2016,Life expectancy at birth (years),Male,75.38
Algeria,2016,Life expectancy at birth (years),Female,77.38
Algeria,2016,Life expectancy at age 60 (years),Both sexes,21.92
Algeria,2016,Life expectancy at age 60 (years),Male,21.38
Algeria,2016,Life expectancy at age 60 (years),Female,22.46
Algeria,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,65.53
Algeria,2016,Healthy life expectancy (HALE) at birth (years),Male,65.45
Algeria,2016,Healthy life expectancy (HALE) at birth (years),Female,65.63
Algeria,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.77
Algeria,2016,Healthy life expectancy (HALE) at age 60 (years),Male,15.72
Algeria,2016,Healthy life expectancy (HALE) at age 60 (years),Female,15.82
Angola,2016,Life expectancy at birth (years),Both sexes,62.63
Angola,2016,Life expectancy at birth (years),Male,60.33
Angola,2016,Life expectancy at birth (years),Female,64.92
Angola,2016,Life expectancy at age 60 (years),Both sexes,17.35
Angola,2016,Life expectancy at age 60 (years),Male,16.46
Angola,2016,Life expectancy at age 60 (years),Female,18.12
Angola,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,55.79
Angola,2016,Healthy life expectancy (HALE) at birth (years),Male,53.81
Angola,2016,Healthy life expectancy (HALE) at birth (years),Female,57.74
Angola,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.63
Angola,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.87
Angola,2016,Healthy life expectancy (HALE) at age 60 (years),Female,14.29
Antigua and Barbuda,2016,Life expectancy at birth (years),Both sexes,75
Antigua and Barbuda,2016,Life expectancy at birth (years),Male,72.53
Antigua and Barbuda,2016,Life expectancy at birth (years),Female,77.46
Antigua and Barbuda,2016,Life expectancy at age 60 (years),Both sexes,19.69
Antigua and Barbuda,2016,Life expectancy at age 60 (years),Male,17.67
Antigua and Barbuda,2016,Life expectancy at age 60 (years),Female,21.67
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.98
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at birth (years),Male,65.17
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at birth (years),Female,68.78
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.57
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.03
Antigua and Barbuda,2016,Healthy life expectancy (HALE) at age 60 (years),Female,17.07
Argentina,2016,Life expectancy at birth (years),Both sexes,76.95
Argentina,2016,Life expectancy at birth (years),Male,73.49
Argentina,2016,Life expectancy at birth (years),Female,80.26
Argentina,2016,Life expectancy at age 60 (years),Both sexes,21.84
Argentina,2016,Life expectancy at age 60 (years),Male,19.22
Argentina,2016,Life expectancy at age 60 (years),Female,24.09
Argentina,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,68.37
Argentina,2016,Healthy life expectancy (HALE) at birth (years),Male,65.9
Argentina,2016,Healthy life expectancy (HALE) at birth (years),Female,70.73
Argentina,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,17.35
Argentina,2016,Healthy life expectancy (HALE) at age 60 (years),Male,15.32
Argentina,2016,Healthy life expectancy (HALE) at age 60 (years),Female,19.1
Armenia,2016,Life expectancy at birth (years),Both sexes,74.84
Armenia,2016,Life expectancy at birth (years),Male,71.21
Armenia,2016,Life expectancy at birth (years),Female,78.13
Armenia,2016,Life expectancy at age 60 (years),Both sexes,19.58
Armenia,2016,Life expectancy at age 60 (years),Male,17.43
Armenia,2016,Life expectancy at age 60 (years),Female,21.36
Armenia,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.3
