Location,Indicator,Period,Dim1,Dim2,First Tooltip
Afghanistan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,30.6 [23.6-38.3]
Albania,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29 [22.4-36.2]
Algeria,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.1 [19.4-31.5]
Andorra,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,18.7 [13.3-24.8]
Angola,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,29.7 [22.1-38.3]
Antigua and Barbuda,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,23.4 [16.6-31.1]
Argentina,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.6 [17-28.9]
Armenia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,25.5 [18.7-32.8]
Australia,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,15.2 [11.5-19.4]
Austria,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21 [15.7-27.1]
Azerbaijan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.5 [18.1-32]
Bahamas,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,20.9 [15.1-27.9]
Bahrain,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,21.4 [15.7-27.8]
Bangladesh,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.7 [19.1-30.6]
Barbados,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,24.4 [18-31.5]
Belarus,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.1 [20.3-34.2]
Belgium,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,17.5 [12.9-23]
Belize,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,22.7 [16.6-29.7]
Benin,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,27.7 [21.7-34.2]
Bhutan,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,28.1 [21.9-34.6]
Bolivia (Plurinational State of),Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,Both sexes,18+  years,17.9 [12.5-24.1]
