Location,Period,Dim2,Indicator,Dim1,First Tooltip
Afghanistan,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,19965
Afghanistan,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,7056
Afghanistan,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,51244
Afghanistan,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,6715
Albania,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,5138
Albania,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,168
Albania,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,14930
Albania,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,887
Algeria,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,25166
Algeria,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,8390
Algeria,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,69173
Algeria,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,5965
Angola,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,8455
Angola,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,2379
Angola,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,22541
Angola,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,3602
Antigua and Barbuda,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,134
Antigua and Barbuda,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,53
Antigua and Barbuda,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,212
Antigua and Barbuda,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,28
Argentina,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,65657
Argentina,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,9233
Argentina,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,91028
Argentina,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,34425
Armenia,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,7953
Armenia,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,1093
Armenia,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,12288
Armenia,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,1156
Australia,2016,Malignant neoplasms,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,45749
Australia,2016,Diabetes mellitus,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,4754
Australia,2016,Cardiovascular diseases,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,44042
Australia,2016,Chronic obstructive pulmonary disease,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",Both sexes,11738
