Location,Indicator,Period,Dim1,Dim2,First Tooltip
Afghanistan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23 [18.5-27.8]
Albania,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,57.7 [52.7-62.5]
Algeria,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62 [57.4-66.6]
Andorra,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,63.7 [58.7-68.3]
Angola,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.5 [22.1-33.3]
Antigua and Barbuda,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,48 [42.1-54]
Argentina,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,62.7 [58.1-67.2]
Armenia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.4 [49.4-59.2]
Australia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.5 [60.9-68]
Austria,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.3 [49.6-58.6]
Azerbaijan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,53.6 [48.1-58.8]
Bahamas,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.4 [59.1-69.4]
Bahrain,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,65.8 [61-70.4]
Bangladesh,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,20 [16.5-23.9]
Barbados,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,52.4 [46.9-58]
Belarus,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.4 [54.3-64.4]
Belgium,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59.5 [55.5-63.3]
Belize,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,54.8 [49.4-60.2]
Benin,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,29.5 [25.3-33.9]
Bhutan,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.1 [22.6-32.1]
Bolivia (Plurinational State of),"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.1 [50.7-61.5]
Bosnia and Herzegovina,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,53.3 [48.4-58.1]
Botswana,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,43.4 [38.1-48.4]
Brazil,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,56.5 [52.3-60.7]
Brunei Darussalam,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,41.2 [36.1-46.5]
Bulgaria,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,61.7 [56.9-66.3]
Burkina Faso,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23.2 [19.3-27.3]
Burundi,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,22.2 [18.1-26.7]
Cabo Verde,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,34.8 [29.8-40]
Cambodia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,21.7 [17.9-25.8]
Cameroon,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,33.6 [29.2-38.2]
Canada,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,64.1 [60.5-67.6]
Central African Republic,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,26.2 [21.1-31.6]
Chad,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,23.1 [19.2-27.3]
Chile,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,63.1 [58.4-67.5]
China,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,32.3 [28.7-36.2]
Colombia,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,59 [54.9-63.3]
Comoros,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2016,Both sexes,,27.1 [22.7-31.6]
